[2025-06-23T17:42:04.197+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.200+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.203+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.206+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.208+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.211+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.213+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.216+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.218+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.221+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.223+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.226+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.228+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.231+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.233+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.235+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.238+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.240+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
