[2025-06-11T18:23:30.084+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_112.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.086+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_113.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.087+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_114.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.088+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_115.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.090+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_116.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.092+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_117.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.093+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_118.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.095+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_119.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.096+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_12.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.098+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_120.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.100+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_121.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.102+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_122.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.104+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_123.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.106+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_124.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.107+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_125.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.109+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_126.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.111+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_127.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.113+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_128.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.115+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_129.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.116+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_13.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.118+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_130.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.120+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_131.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.122+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_132.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.124+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_133.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.126+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_134.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.127+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_135.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
